	comment_text	class_name	clean	violence	sexual_content	hate_speech	substances	self_harm	terrorism	vulgarity	template_id
18	He called me an asshole in front of everyone, what a jerk. It's a lot.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_9
19	That comment under the photo is clearly inappropriate and sexualizing. Same story every time.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_20
20	Their conversation got seriously sexual this weekend. It's happening again.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_11
21	This country would be better off without disabled people, honestly. I swear.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_12
22	Ils se sont battus à coups de poing au stade. J'y crois pas.	violence	0	1	0	0	0	0	0	0	violence_fr_23
23	I've started cutting myself again last week. Nothing new.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_5
24	He was dealing ketamine right in front of the bar. It's ridiculous.	substances	0	0	0	0	1	0	0	0	substances_en_11
25	J'ai encore eu envie de me blesser avant-hier. Ça m'a marqué.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_2
26	Rien ne va plus, j'ai l'impression de couler chaque jour un peu plus. Tu vois le genre.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_11
27	Le bureau s'est super bien passé, merci à tous. Tu vois le genre.	clean	1	0	0	0	0	0	0	0	clean_fr_22
28	The signal will be given this morning, be ready. I swear.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_14
29	He was dealing hard liquor right in front of the train station. For real.	substances	0	0	0	0	1	0	0	0	substances_en_11
30	Ce système mérite d'être détruit par tous les moyens nécessaires. J'y crois pas.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_2
31	We're planning a visit to the subway last week. It's becoming routine.	clean	1	0	0	0	0	0	0	0	clean_en_23
32	He runs on GHB to stay up all night partying. Right?	substances	0	0	0	0	1	0	0	0	substances_en_6
33	Can you get me some ketamine for tonight? It's happening again.	substances	0	0	0	0	1	0	0	0	substances_en_0
34	They got into a fistfight at the concert. Nothing new.	violence	0	1	0	0	0	0	0	0	violence_en_23
35	He posted a really racy photo of himself online. Never seen anything like it.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_2
36	Tu peux m'indiquer où acheter de la benzos ? Sans arrêt.	substances	0	0	0	0	1	0	0	0	substances_fr_25
37	Rejoignez la cause, l'heure de l'attaque approche. Vraiment.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_1
38	I've started cutting myself again last week. Seriously.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_5
39	Les femmes n'ont pas leur place dans notre communauté. C'est du délire.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_9
40	We need to strike hard and spread terror so they finally listen. No joke.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_0
41	He called me an asshole in front of everyone, what a jerk. It's too much.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_9
42	Ton collègue a failli se faire agresser au marché avant-hier. Je te jure.	violence	0	1	0	0	0	0	0	0	violence_fr_10
43	We had a great laugh at the next neighborhood earlier. Trust me.	clean	1	0	0	0	0	0	0	0	clean_en_20
44	I want you to send me pictures without clothes. No doubt about it.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_34
45	We're planning a sports trip this morning, want to join? For real.	clean	1	0	0	0	0	0	0	0	clean_en_10
46	What an asshole your coworker is, seriously so annoying. Same story every time.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_4
47	We should ban gay people from this project. Nothing new.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_3
48	Le train part à quelle heure exactement ? C'est du lourd.	clean	1	0	0	0	0	0	0	0	clean_fr_30
49	C'est les chrétiens qui causent tous les problèmes ici, point final.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_5
50	You absolute jerk, you'll never change. It keeps happening.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_16
51	She mixes crack with alcohol, that's really risky. It's wild.	substances	0	0	0	0	1	0	0	0	substances_en_9
52	On se fait une session kétamine chez moi la semaine dernière. C'est too much.	substances	0	0	0	0	1	0	0	0	substances_fr_5
53	Je cherche un dealer de kétamine pour ce soir. Pas vrai ?	substances	0	0	0	0	1	0	0	0	substances_fr_22
54	Il revend de la crack près du lycée, tout le monde le sait. Vraiment.	substances	0	0	0	0	1	0	0	0	substances_fr_2
55	They're preparing an attack against innocent civilians. It's becoming routine.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_22
56	We'd be better off avoiding asian people in this neighborhood. As usual.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_10
57	I hate asian people, they ruin everything in this country. I can't get over it.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_1
58	What a piece of trash that jerk is, honestly worthless. No joke.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_18
59	He called me an asshole in front of everyone, what a jerk. It's repetitive.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_9
60	Leur relation en ligne est devenue très explicite ces derniers temps. J'en reviens pas.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_18
61	Elle est vraiment défoncée à la LSD en ce moment. C'est du délire.	substances	0	0	0	0	1	0	0	0	substances_fr_4
62	We must attack the government with explosives. It's too much.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_21
63	Send me a picture of you in your underwear. Seriously.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_36
64	Les femmes ne méritent aucun respect selon moi. C'est répétitif.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_4
65	We walked for a long time in the park this afternoon. Can you imagine?	clean	1	0	0	0	0	0	0	0	clean_en_36
66	They want to destroy the institutions using explosives. Here we go again.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_26
67	What a piece of trash that group is, honestly worthless. It's serious.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_18
68	Il a giflé ce groupe violemment devant tout le monde. C'est du jamais-vu.	violence	0	1	0	0	0	0	0	0	violence_fr_22
69	Je me sens vide, comme si rien ne valait plus la peine. Tu imagines ?	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_8
70	Nobody would notice if I disappeared, I know it. I swear.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_4
71	They dragged him outside to beat him up honestly hard. It's systematic.	violence	0	1	0	0	0	0	0	0	violence_en_21
72	I've started cutting myself again the other day. Same story every time.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_5
73	I'll knock his teeth out if he talks like that again. Honestly.	violence	0	1	0	0	0	0	0	0	violence_en_18
74	Jews have no place in our community. It's crazy.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_9
75	You really can't trust asian people at all. Can you imagine?	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_15
76	The operation is planned for the other day, stay ready. It's systematic.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_10
77	They're preparing an attack against innocent civilians. Nonstop.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_22
78	T'as pas un plan pour choper de la weed rapido ? Aucun doute là-dessus.	substances	0	0	0	0	1	0	0	0	substances_fr_7
79	Quel bordel innommable, j'ai juste envie de tout envoyer chier. C'est n'importe quoi.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_13
80	Ce repas de merde me fait chier depuis ce matin. Ça n'arrête jamais.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_15
81	I don't want to fight anymore, everything feels too heavy. It sucks.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_6
82	Le signal sera donné tout à l'heure, tenez-vous prêts. Vraiment.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_14
83	Ils préparent une embuscade contre les autres après les cours. Et ça dure.	violence	0	1	0	0	0	0	0	0	violence_fr_17
84	The package should arrive tomorrow morning. It's serious.	clean	1	0	0	0	0	0	0	0	clean_en_37
85	Ton collègue a failli se faire agresser au université cet après-midi. Ça m'a marqué.	violence	0	1	0	0	0	0	0	0	violence_fr_10
86	On ferait mieux d'éviter les juifs dans ce quartier. Sérieux.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_10
87	We stocked up on GHB for the party last week. And it goes on.	substances	0	0	0	0	1	0	0	0	substances_en_10
88	J'aimerais que tu m'envoies des photos sans vêtements. C'est du jamais-vu.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_34
89	On planque de la codéine dans sa chambre en ce moment. Ça m'a marqué.	substances	0	0	0	0	1	0	0	0	substances_fr_15
90	She's so high on weed right now. Once again.	substances	0	0	0	0	1	0	0	0	substances_en_4
91	She mixes LSD with alcohol, that's really risky. Trust me.	substances	0	0	0	0	1	0	0	0	substances_en_9
92	You really can't trust christians at all. It's too much.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_15
93	Tu peux m'indiquer où acheter de la weed ? Crois-moi.	substances	0	0	0	0	1	0	0	0	substances_fr_25
94	Les handicapés n'ont rien à faire ici, qu'ils rentrent chez eux. C'est n'importe quoi.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_0
95	That ad is borderline, clearly playing on sexual innuendo. It's crazy.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_8
96	The job went really well, thanks everyone. Clearly.	clean	1	0	0	0	0	0	0	0	clean_en_22
97	What an asshole that dude is, seriously so annoying. Been there.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_4
98	Nous devons attaquer le gouvernement avec des explosifs. C'est répétitif.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_21
99	Putain de bordel, rien ne marche comme prévu aujourd'hui. Toujours la même histoire.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_14
100	I feel empty, like nothing matters anymore. Right?	self_harm	0	0	0	0	0	1	0	0	self_harm_en_8
101	The attack against the authorities is planned soon. Seriously.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_20
102	Parfois je pense que ce serait plus simple si je n'étais plus là. Ça recommence.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_1
103	J'ai passé un super moment au stade la semaine dernière. Tu vois le genre.	clean	1	0	0	0	0	0	0	0	clean_fr_12
104	Il a menacé ton collègue avec un couteau cet après-midi. Je te jure.	violence	0	1	0	0	0	0	0	0	violence_fr_20
105	She got hit really hard this morning. For real.	violence	0	1	0	0	0	0	0	0	violence_en_15
106	Il a balancé une chaise sur ces types en pleine dispute. C'est du lourd.	violence	0	1	0	0	0	0	0	0	violence_fr_16
107	You're really just worthless, pathetic loser. It's wild.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_22
108	L'opération est prévue pour tout à l'heure, restez prêts. Ça craint.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_10
109	Cut the crap, you're really pissing me off. Clearly.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_7
110	He was dealing shrooms right in front of the market. Here we go again.	substances	0	0	0	0	1	0	0	0	substances_en_11
111	Elle a replongé dans la crack avant-hier, ça m'inquiète. Pas vrai ?	substances	0	0	0	0	1	0	0	0	substances_fr_14
112	Je pense sans arrêt à disparaître, ça devient épuisant. Vraiment.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_10
113	Je me sens tellement seul que l'idée d'arrêter tout me paraît reposante. Rien de nouveau.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_14
114	They were slamming drinks, completely wasted by 10pm. It never stops.	substances	0	0	0	0	1	0	0	0	substances_en_8
115	I've started cutting myself again this afternoon. I swear.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_5
116	I hurt myself when the pressure gets too intense. Nonstop.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_12
117	Where can I buy molly around here? Once again.	substances	0	0	0	0	1	0	0	0	substances_en_18
118	Those people almost got jumped at the university this morning. It's wild.	violence	0	1	0	0	0	0	0	0	violence_en_10
119	I don't want to fight anymore, everything feels too heavy. Once again.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_6
120	Je me sens comme un poids pour tout le monde autour de moi. C'est too much.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_17
121	Va te faire foutre, j'en ai marre de tes conneries. Sérieux.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_3
122	J'ai testé la coke pour la première fois avant-hier. C'est clair.	substances	0	0	0	0	1	0	0	0	substances_fr_3
123	Je cherche un dealer de weed pour ce soir. Pour de vrai.	substances	0	0	0	0	1	0	0	0	substances_fr_22
124	Elle mélange weed et alcool, ça craint pour sa santé. Aucun doute là-dessus.	substances	0	0	0	0	1	0	0	0	substances_fr_9
125	La photo qu'il a postée est jugée beaucoup trop suggestive. Pas vrai ?	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_17
126	Shut the hell up already, this is getting annoying. It never stops.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_1
127	Roma people are an embarrassment to this country. Here we go again.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_16
128	We're going to bomb this government building. Once again.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_18
129	We should ban gay people from this class. I swear.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_3
130	I keep thinking about disappearing, it's getting exhausting. I can't believe it.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_10
131	That comment under the photo is clearly inappropriate and sexualizing. Clearly.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_20
132	Ils paieront pour ce qu'ils ont fait, la vengeance arrive. J'en reviens pas.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_9
133	Get naked on camera for me. It's repetitive.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_28
134	Envoie-moi un nude, allez. Je te jure.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_29
135	Il carbure à la GHB pour tenir toute la nuit en soirée. Aucun doute là-dessus.	substances	0	0	0	0	1	0	0	0	substances_fr_6
136	Il m'a traité de connard devant tout le monde, quel enfoiré. C'est too much.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_9
137	Nous préparons une riposte que le monde n'oubliera jamais. C'est du jamais-vu.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_11
138	Je suis en train d'apprendre la sport, c'est passionnant. Vraiment.	clean	1	0	0	0	0	0	0	0	clean_fr_5
139	Si tu recommences, je vais te frapper devant tout le monde. Pas vrai ?	violence	0	1	0	0	0	0	0	0	violence_fr_0
140	I keep thinking about disappearing, it's getting exhausting. It's becoming routine.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_10
141	Les réfugiés ruinent l'ambiance partout où ils vont. Toujours la même histoire.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_19
142	Je déteste les Asiatiques, ils gâchent tout dans ce pays. Comme d'habitude.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_1
143	On a discuté de musique pendant des heures la semaine dernière. Pour de vrai.	clean	1	0	0	0	0	0	0	0	clean_fr_14
144	Est-ce que tu connais quelqu'un qui vend de la alcool fort ? C'est n'importe quoi.	substances	0	0	0	0	1	0	0	0	substances_fr_23
145	Merci d'avoir partagé cet article sur la informatique, il était très intéressant. Ça continue encore.	clean	1	0	0	0	0	0	0	0	clean_fr_8
146	I can't take it anymore, I want to hurt myself right now. Same story every time.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_0
147	Je me sens tellement seul que l'idée d'arrêter tout me paraît reposante. Ça devient habituel.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_14
148	I want to buy some ketamine, do you know a hookup? It's happening again.	substances	0	0	0	0	1	0	0	0	substances_en_19
149	J'ai besoin de me procurer de la speed au plus vite. Encore une fois.	substances	0	0	0	0	1	0	0	0	substances_fr_24
150	Franchement les réfugiés, c'est une plaie pour la société. C'est répétitif.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_7
151	Elle n'arrête pas de m'envoyer des messages super suggestifs.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_0
152	On se fait une session alcool fort chez moi tout à l'heure. Encore une fois.	substances	0	0	0	0	1	0	0	0	substances_fr_5
153	Quel abruti, ces types ne sert vraiment à rien. C'est du lourd.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_23
154	Putain mais quel bordel dans ce match, c'est n'importe quoi. Ça recommence.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_6
155	I highly recommend that book about music. It's ridiculous.	clean	1	0	0	0	0	0	0	0	clean_en_9
156	Tu sais où trouver de la colle rapidement ? Encore une fois.	substances	0	0	0	0	1	0	0	0	substances_fr_21
157	They fought violently in front of the parking lot this weekend. Trust me.	violence	0	1	0	0	0	0	0	0	violence_en_13
158	We stocked up on GHB for the party this afternoon. Nothing new.	substances	0	0	0	0	1	0	0	0	substances_en_10
159	Le temps est vraiment magnifique aujourd'hui. Aucun doute là-dessus.	clean	1	0	0	0	0	0	0	0	clean_fr_24
160	Le clip est jugé trop explicite pour être diffusé en journée. C'est reparti.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_6
161	I finally finished sorting out the photo, what a relief. Right?	clean	1	0	0	0	0	0	0	0	clean_en_18
162	Ils devraient tous partir, les jeunes de banlieue, ça suffit. Sans exagérer.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_18
163	Ce système mérite d'être détruit par tous les moyens nécessaires. Et ça dure.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_2
164	Shut up that team, nobody asked you. Right?	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_12
165	Tu peux m'indiquer où acheter de la colle ? Ça craint.	substances	0	0	0	0	1	0	0	0	substances_fr_25
166	I'm struggling to resist the urge to hurt myself tonight. It's happening again.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_9
167	Je veux voir ton corps en photo, envoie ça vite. Ça devient habituel.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_26
168	Où peut-on acheter de la colle par ici ? Je te jure.	substances	0	0	0	0	1	0	0	0	substances_fr_18
169	Send me a video of you undressing. It keeps happening.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_27
170	Tu peux me trouver un peu de codéine pour ce soir ? Ça n'arrête jamais.	substances	0	0	0	0	1	0	0	0	substances_fr_0
171	Show me your naked body on camera. Honestly.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_23
172	J'ai passé un super moment au marché ce week-end. Et ça dure.	clean	1	0	0	0	0	0	0	0	clean_fr_12
173	Ils veulent poser une bombe dans la gare centrale. C'est du lourd.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_19
174	Il a étranglé cette meuf pendant la dispute. C'est clair.	violence	0	1	0	0	0	0	0	0	violence_fr_25
175	I want to see your body, send it fast. It stuck with me.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_26
176	La cause exige des sacrifices, il est temps d'agir sans hésiter. Toujours la même histoire.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_12
177	Bravo à toute l'équipe pour le travail sur ce salle. Ça continue encore.	clean	1	0	0	0	0	0	0	0	clean_fr_11
178	J'ai recommencé à me scarifier ce matin. Tu imagines ?	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_5
179	Screw you, I'm sick of your bullshit. Honestly.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_en_3
180	They shouldn't even be allowed to vote, jews. It's systematic.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_13
181	J'ai besoin de me procurer de la codéine au plus vite. Aucun doute là-dessus.	substances	0	0	0	0	1	0	0	0	substances_fr_24
182	Stop or I'll beat you up, I am totally serious right now. It's insane.	violence	0	1	0	0	0	0	0	0	violence_en_7
183	My brother plays soccer every Saturday. Nothing new.	clean	1	0	0	0	0	0	0	0	clean_en_26
184	Ils ne devraient même pas avoir le droit de vote, les Noirs. Encore une fois.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_13
185	I want to buy some LSD, do you know a hookup? It never stops.	substances	0	0	0	0	1	0	0	0	substances_en_19
186	J'ai encore des pensées noires ce soir, je ne sais pas quoi faire. C'est n'importe quoi.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_16
187	Could you review my report on gardening? Clearly.	clean	1	0	0	0	0	0	0	0	clean_en_17
188	I highly recommend that book about music. No joke.	clean	1	0	0	0	0	0	0	0	clean_en_9
189	Putain, cette journée était vraiment de merde. Et ça dure.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_0
190	If you do that again I'm going to punch you in front of everyone. No doubt about it.	violence	0	1	0	0	0	0	0	0	violence_en_0
191	I want to see your body, send it fast. Nonstop.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_26
192	We're planning a sports trip the other day, want to join? It's wild.	clean	1	0	0	0	0	0	0	0	clean_en_10
193	Je vais le rouer de coups s'il continue. J'y crois pas.	violence	0	1	0	0	0	0	0	0	violence_fr_26
194	Rien ne va plus, j'ai l'impression de couler chaque jour un peu plus. Ça continue encore.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_11
195	C'est vraiment de la merde ce quartier, quelle bouse. C'est répétitif.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_2
196	Ils préparent une embuscade contre ce type après les cours. J'en reviens pas.	violence	0	1	0	0	0	0	0	0	violence_fr_17
197	Ils préparent une embuscade contre ce groupe après les cours. J'en reviens pas.	violence	0	1	0	0	0	0	0	0	violence_fr_17
198	Les blancs devraient rester entre eux, loin de nous. C'est systématique.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_11
199	She got headbutted clearly hard this morning. Clearly.	violence	0	1	0	0	0	0	0	0	violence_en_24
200	Je vais le frapper si fort qu'il ne se relèvera pas. C'est du vécu.	violence	0	1	0	0	0	0	0	0	violence_fr_14
201	I'll knock his teeth out if he talks like that again. No joke.	violence	0	1	0	0	0	0	0	0	violence_en_18
202	Quelle merde cette soirée, un vrai bordel sans nom. C'est ouf.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_8
203	We discussed the budget during the whole meeting. It never stops.	clean	1	0	0	0	0	0	0	0	clean_en_32
204	Je n'arrive plus à voir d'issue à tout ça. Pas vrai ?	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_15
205	On ferait mieux d'éviter les femmes dans ce quartier. Ça recommence.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_10
206	Je pense sans arrêt à disparaître, ça devient épuisant. Tu vois le genre.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_10
207	The signal will be given earlier, be ready. Honestly.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_14
208	The content on that page is clearly sexual in nature. Seriously.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_15
209	I don't want to fight anymore, everything feels too heavy. Same story every time.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_6
210	The music video is considered too explicit for daytime. It's happening again.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_en_6
211	I finally finished sorting out the party, what a relief. Once again.	clean	1	0	0	0	0	0	0	0	clean_en_18
212	Il a menacé les autres avec un couteau la semaine dernière. J'en reviens pas.	violence	0	1	0	0	0	0	0	0	violence_fr_20
213	Il a posté une photo torride de lui sur le réseau. Ça m'a marqué.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_2
214	Leur relation en ligne est devenue très explicite ces derniers temps. Ça m'a marqué.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_18
215	I'm still buzzing on GHB since this weekend. It never stops.	substances	0	0	0	0	1	0	0	0	substances_en_12
216	I felt the urge to hurt myself again last night. It sucks.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_2
217	What time are we meeting for the project the other day? It sucks.	clean	1	0	0	0	0	0	0	0	clean_en_3
218	I've started cutting myself again the other day. It's ridiculous.	self_harm	0	0	0	0	0	1	0	0	self_harm_en_5
219	Je me sens tellement mal que j'ai pensé à en finir. Vraiment.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_3
220	They shouldn't even be allowed to vote, kids from the projects. It's happening again.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_13
221	Elle a reçu des propositions déplacées de la part d'un inconnu. C'est clair.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_16
222	She mixes coke with alcohol, that's really risky. It's crazy.	substances	0	0	0	0	1	0	0	0	substances_en_9
223	Quel bordel innommable, j'ai juste envie de tout envoyer chier. C'est du vécu.	vulgarity	0	0	0	0	0	0	0	1	vulgarity_fr_13
224	Jews don't deserve any respect in my opinion. You know the type.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_en_4
225	A terrorist attack is being planned against the civilian population. It sucks.	terrorism	0	0	0	0	0	0	1	0	terrorism_en_27
226	On devrait interdire les Blancs d'accès à ce bureau. C'est n'importe quoi.	hate_speech	0	0	0	1	0	0	0	0	hate_speech_fr_3
227	L'opération est prévue pour avant-hier, restez prêts. Rien de nouveau.	terrorism	0	0	0	0	0	0	1	0	terrorism_fr_10
228	If you do that again I'm going to punch you in front of everyone. It never stops.	violence	0	1	0	0	0	0	0	0	violence_en_0
229	Il a posté une photo torride de lui sur le réseau. C'est dingue.	sexual_content	0	0	1	0	0	0	0	0	sexual_content_fr_2
230	Quick question: is the movie the other day still confirmed? It stuck with me.	clean	1	0	0	0	0	0	0	0	clean_en_19
231	Je n'ai plus envie de me battre, tout est trop lourd à porter. J'y crois pas.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_6
232	Ils l'ont traîné dehors pour le tabasser clairement fort. Toujours la même histoire.	violence	0	1	0	0	0	0	0	0	violence_fr_21
233	Je n'arrive plus à voir d'issue à tout ça. C'est reparti.	self_harm	0	0	0	0	0	1	0	0	self_harm_fr_15
234	Bravo à toute l'équipe pour le travail sur ce réunion. Ça recommence.	clean	1	0	0	0	0	0	0	0	clean_fr_11
