	comment_text	label	class_name	language	toxic	severe_toxic	obscene	threat	insult	identity_hate
25	My cat loves to sleep by the window in the afternoon sun.	0	clean	en	0	0	0	0	0	0
26	I finished reading a great novel last night, highly recommend it.	0	clean	en	0	0	0	0	0	0
27	The meeting tomorrow has been moved to Thursday morning.	0	clean	en	0	0	0	0	0	0
28	Congratulations on your promotion, you truly deserve it!	0	clean	en	0	0	0	0	0	0
29	I visited an amazing art gallery during my vacation.	0	clean	en	0	0	0	0	0	0
30	The kids are playing in the yard, it's so adorable.	0	clean	en	0	0	0	0	0	0
31	That movie was brilliantly directed, I highly recommend it.	0	clean	en	0	0	0	0	0	0
32	We organized a lovely birthday party for Sarah last weekend.	0	clean	en	0	0	0	0	0	0
33	The teacher explained the lesson in a very clear way.	0	clean	en	0	0	0	0	0	0
34	I love reading science fiction novels on weekends.	0	clean	en	0	0	0	0	0	0
35	Classical music helps me relax after a long day at work.	0	clean	en	0	0	0	0	0	0
36	Our team won the basketball game last night, so exciting!	0	clean	en	0	0	0	0	0	0
37	I'm working on my master's thesis about machine learning.	0	clean	en	0	0	0	0	0	0
38	The flowers in my garden are starting to bloom beautifully.	0	clean	en	0	0	0	0	0	0
39	Good luck on your exam tomorrow, I know you'll do great!	0	clean	en	0	0	0	0	0	0
40	Hola, espero que estés teniendo un día maravilloso.	0	clean	es	0	0	0	0	0	0
41	El clima es hermoso y los pájaros están cantando.	0	clean	es	0	0	0	0	0	0
42	Acabo de terminar de hornear un delicioso pastel de chocolate.	0	clean	es	0	0	0	0	0	0
43	Muchas gracias por tu ayuda, fue muy apreciada.	0	clean	es	0	0	0	0	0	0
44	Fui al mercado esta mañana, había verduras increíbles.	0	clean	es	0	0	0	0	0	0
45	Mi gato adora dormir junto a la ventana por la tarde.	0	clean	es	0	0	0	0	0	0
46	Terminé de leer una gran novela anoche, muy recomendable.	0	clean	es	0	0	0	0	0	0
47	La reunión de mañana se ha trasladado al jueves por la mañana.	0	clean	es	0	0	0	0	0	0
48	¡Felicitaciones por tu ascenso, realmente lo mereces!	0	clean	es	0	0	0	0	0	0
49	Visité una galería de arte increíble durante mis vacaciones.	0	clean	es	0	0	0	0	0	0
50	Los niños están jugando en el jardín, es tan adorable.	0	clean	es	0	0	0	0	0	0
51	Esa película fue brillantemente dirigida, la recomiendo mucho.	0	clean	es	0	0	0	0	0	0
52	Organizamos una hermosa fiesta de cumpleaños para María.	0	clean	es	0	0	0	0	0	0
53	El profesor explicó la lección de una manera muy clara.	0	clean	es	0	0	0	0	0	0
54	Me encanta leer novelas de ciencia ficción los fines de semana.	0	clean	es	0	0	0	0	0	0
55	La música clásica me ayuda a relajarme después de un largo día.	0	clean	es	0	0	0	0	0	0
56	Nuestro equipo ganó el partido de fútbol anoche.	0	clean	es	0	0	0	0	0	0
57	Estoy trabajando en mi tesis de maestría sobre inteligencia artificial.	0	clean	es	0	0	0	0	0	0
58	Las flores en mi jardín están empezando a florecer.	0	clean	es	0	0	0	0	0	0
59	¡Buena suerte en tu examen mañana, sé que lo harás genial!	0	clean	es	0	0	0	0	0	0
60	Hallo, ich hoffe, du hast einen wunderbaren Tag.	0	clean	de	0	0	0	0	0	0
61	Das Wetter ist schön und die Vögel singen fröhlich.	0	clean	de	0	0	0	0	0	0
62	Ich habe gerade einen köstlichen Schokoladenkuchen gebacken.	0	clean	de	0	0	0	0	0	0
63	Vielen Dank für deine Hilfe, das war wirklich sehr hilfreich.	0	clean	de	0	0	0	0	0	0
64	Ich war heute Morgen auf dem Markt, es gab tolles Gemüse.	0	clean	de	0	0	0	0	0	0
65	Meine Katze liebt es, am Nachmittag neben dem Fenster zu schlafen.	0	clean	de	0	0	0	0	0	0
66	Ich habe gestern Nacht einen tollen Roman fertig gelesen.	0	clean	de	0	0	0	0	0	0
67	Das Treffen morgen wurde auf Donnerstagmorgen verschoben.	0	clean	de	0	0	0	0	0	0
68	Herzlichen Glückwunsch zu deiner Beförderung, du verdienst es!	0	clean	de	0	0	0	0	0	0
69	Ich habe während meines Urlaubs eine tolle Kunstgalerie besucht.	0	clean	de	0	0	0	0	0	0
70	Die Kinder spielen im Garten, das ist so süß.	0	clean	de	0	0	0	0	0	0
71	Dieser Film war brillant inszeniert, ich empfehle ihn sehr.	0	clean	de	0	0	0	0	0	0
72	Wir haben eine schöne Geburtstagsfeier für Maria organisiert.	0	clean	de	0	0	0	0	0	0
73	Der Lehrer hat den Unterricht sehr klar erklärt.	0	clean	de	0	0	0	0	0	0
74	Ich liebe es, am Wochenende Science-Fiction-Romane zu lesen.	0	clean	de	0	0	0	0	0	0
75	Klassische Musik hilft mir, mich nach einem langen Tag zu entspannen.	0	clean	de	0	0	0	0	0	0
76	Unser Team hat gestern Abend das Fußballspiel gewonnen.	0	clean	de	0	0	0	0	0	0
77	Ich arbeite an meiner Masterarbeit über maschinelles Lernen.	0	clean	de	0	0	0	0	0	0
78	Die Blumen in meinem Garten beginnen zu blühen.	0	clean	de	0	0	0	0	0	0
79	Viel Glück bei deiner Prüfung morgen, ich weiß, du schaffst das!	0	clean	de	0	0	0	0	0	0
80	Ciao, spero che tu stia passando una meravigliosa giornata.	0	clean	it	0	0	0	0	0	0
81	Il tempo è bellissimo e gli uccelli stanno cantando.	0	clean	it	0	0	0	0	0	0
82	Ho appena finito di cuocere una deliziosa torta al cioccolato.	0	clean	it	0	0	0	0	0	0
83	Grazie mille per il tuo aiuto, è stato molto apprezzato.	0	clean	it	0	0	0	0	0	0
84	Sono andato al mercato stamattina, c'erano verdure fantastiche.	0	clean	it	0	0	0	0	0	0
85	Il mio gatto adora dormire vicino alla finestra nel pomeriggio.	0	clean	it	0	0	0	0	0	0
86	Ho finito di leggere un grande romanzo ieri sera, lo consiglio.	0	clean	it	0	0	0	0	0	0
87	La riunione di domani è stata spostata a giovedì mattina.	0	clean	it	0	0	0	0	0	0
88	Congratulazioni per la tua promozione, te la meriti davvero!	0	clean	it	0	0	0	0	0	0
89	Ho visitato una galleria d'arte incredibile durante le mie vacanze.	0	clean	it	0	0	0	0	0	0
90	I bambini stanno giocando in giardino, è così adorabile.	0	clean	it	0	0	0	0	0	0
91	Quel film era brillantemente diretto, lo consiglio vivamente.	0	clean	it	0	0	0	0	0	0
92	Abbiamo organizzato una bella festa di compleanno per Maria.	0	clean	it	0	0	0	0	0	0
93	L'insegnante ha spiegato la lezione in modo molto chiaro.	0	clean	it	0	0	0	0	0	0
94	Adoro leggere romanzi di fantascienza nel fine settimana.	0	clean	it	0	0	0	0	0	0
95	La musica classica mi aiuta a rilassarmi dopo una lunga giornata.	0	clean	it	0	0	0	0	0	0
96	La nostra squadra ha vinto la partita di calcio ieri sera.	0	clean	it	0	0	0	0	0	0
97	Sto lavorando alla mia tesi magistrale sull'intelligenza artificiale.	0	clean	it	0	0	0	0	0	0
98	I fiori nel mio giardino stanno iniziando a sbocciare.	0	clean	it	0	0	0	0	0	0
99	Buona fortuna per il tuo esame domani, so che andrà bene!	0	clean	it	0	0	0	0	0	0
100	Bonjour, j'espère que tu vas bien aujourd'hui.	0	clean	fr	0	0	0	0	0	0
101	Le soleil brille et la journée est magnifique.	0	clean	fr	0	0	0	0	0	0
102	J'ai préparé une délicieuse recette de tarte aux pommes.	0	clean	fr	0	0	0	0	0	0
103	Merci beaucoup pour ton aide, c'était vraiment utile.	0	clean	fr	0	0	0	0	0	0
104	Je suis allé au marché ce matin, il y avait de beaux légumes frais.	0	clean	fr	0	0	0	0	0	0
105	Mon chien adore se promener dans le parc le dimanche.	0	clean	fr	0	0	0	0	0	0
106	J'ai terminé mon livre préféré hier soir, il était fantastique.	0	clean	fr	0	0	0	0	0	0
107	La réunion de demain est reportée à jeudi matin.	0	clean	fr	0	0	0	0	0	0
108	Félicitations pour ta promotion, tu le mérites vraiment !	0	clean	fr	0	0	0	0	0	0
109	J'ai visité un musée incroyable pendant mes vacances.	0	clean	fr	0	0	0	0	0	0
110	Les enfants jouent dans le jardin, c'est tellement mignon.	0	clean	fr	0	0	0	0	0	0
111	Ce film était très bien réalisé, je le recommande vivement.	0	clean	fr	0	0	0	0	0	0
112	Nous avons organisé une belle fête d'anniversaire pour Marie.	0	clean	fr	0	0	0	0	0	0
113	Le professeur a expliqué le cours de manière très claire.	0	clean	fr	0	0	0	0	0	0
114	J'adore lire des romans de science-fiction le week-end.	0	clean	fr	0	0	0	0	0	0
115	La musique classique me détend après une longue journée.	0	clean	fr	0	0	0	0	0	0
116	Notre équipe a gagné le match de football hier soir.	0	clean	fr	0	0	0	0	0	0
117	Je prépare mon mémoire de master sur l'intelligence artificielle.	0	clean	fr	0	0	0	0	0	0
118	Les fleurs dans mon jardin commencent à s'épanouir.	0	clean	fr	0	0	0	0	0	0
119	Bonne chance pour ton examen de demain, tu vas réussir !	0	clean	fr	0	0	0	0	0	0
120	Hello, I hope you're having a wonderful day today.	0	clean	en	0	0	0	0	0	0
121	The weather is beautiful and the birds are singing.	0	clean	en	0	0	0	0	0	0
122	I just finished baking a delicious chocolate cake.	0	clean	en	0	0	0	0	0	0
123	Thank you so much for your help, it was really appreciated.	0	clean	en	0	0	0	0	0	0
124	I went to the farmers market this morning, great vegetables.	0	clean	en	0	0	0	0	0	0
125	My cat loves to sleep by the window in the afternoon sun.	0	clean	en	0	0	0	0	0	0
126	I finished reading a great novel last night, highly recommend it.	0	clean	en	0	0	0	0	0	0
127	The meeting tomorrow has been moved to Thursday morning.	0	clean	en	0	0	0	0	0	0
128	Congratulations on your promotion, you truly deserve it!	0	clean	en	0	0	0	0	0	0
129	I visited an amazing art gallery during my vacation.	0	clean	en	0	0	0	0	0	0
130	The kids are playing in the yard, it's so adorable.	0	clean	en	0	0	0	0	0	0
131	That movie was brilliantly directed, I highly recommend it.	0	clean	en	0	0	0	0	0	0
132	We organized a lovely birthday party for Sarah last weekend.	0	clean	en	0	0	0	0	0	0
133	The teacher explained the lesson in a very clear way.	0	clean	en	0	0	0	0	0	0
134	I love reading science fiction novels on weekends.	0	clean	en	0	0	0	0	0	0
135	Classical music helps me relax after a long day at work.	0	clean	en	0	0	0	0	0	0
136	Our team won the basketball game last night, so exciting!	0	clean	en	0	0	0	0	0	0
137	I'm working on my master's thesis about machine learning.	0	clean	en	0	0	0	0	0	0
138	The flowers in my garden are starting to bloom beautifully.	0	clean	en	0	0	0	0	0	0
139	Good luck on your exam tomorrow, I know you'll do great!	0	clean	en	0	0	0	0	0	0
140	Hola, espero que estés teniendo un día maravilloso.	0	clean	es	0	0	0	0	0	0
141	El clima es hermoso y los pájaros están cantando.	0	clean	es	0	0	0	0	0	0
142	Acabo de terminar de hornear un delicioso pastel de chocolate.	0	clean	es	0	0	0	0	0	0
143	Muchas gracias por tu ayuda, fue muy apreciada.	0	clean	es	0	0	0	0	0	0
144	Fui al mercado esta mañana, había verduras increíbles.	0	clean	es	0	0	0	0	0	0
145	Mi gato adora dormir junto a la ventana por la tarde.	0	clean	es	0	0	0	0	0	0
146	Terminé de leer una gran novela anoche, muy recomendable.	0	clean	es	0	0	0	0	0	0
147	La reunión de mañana se ha trasladado al jueves por la mañana.	0	clean	es	0	0	0	0	0	0
148	¡Felicitaciones por tu ascenso, realmente lo mereces!	0	clean	es	0	0	0	0	0	0
149	Visité una galería de arte increíble durante mis vacaciones.	0	clean	es	0	0	0	0	0	0
150	Los niños están jugando en el jardín, es tan adorable.	0	clean	es	0	0	0	0	0	0
151	Esa película fue brillantemente dirigida, la recomiendo mucho.	0	clean	es	0	0	0	0	0	0
152	Organizamos una hermosa fiesta de cumpleaños para María.	0	clean	es	0	0	0	0	0	0
153	El profesor explicó la lección de una manera muy clara.	0	clean	es	0	0	0	0	0	0
154	Me encanta leer novelas de ciencia ficción los fines de semana.	0	clean	es	0	0	0	0	0	0
155	La música clásica me ayuda a relajarme después de un largo día.	0	clean	es	0	0	0	0	0	0
156	Nuestro equipo ganó el partido de fútbol anoche.	0	clean	es	0	0	0	0	0	0
157	Estoy trabajando en mi tesis de maestría sobre inteligencia artificial.	0	clean	es	0	0	0	0	0	0
158	Las flores en mi jardín están empezando a florecer.	0	clean	es	0	0	0	0	0	0
159	¡Buena suerte en tu examen mañana, sé que lo harás genial!	0	clean	es	0	0	0	0	0	0
160	Hallo, ich hoffe, du hast einen wunderbaren Tag.	0	clean	de	0	0	0	0	0	0
161	Das Wetter ist schön und die Vögel singen fröhlich.	0	clean	de	0	0	0	0	0	0
162	Ich habe gerade einen köstlichen Schokoladenkuchen gebacken.	0	clean	de	0	0	0	0	0	0
163	Vielen Dank für deine Hilfe, das war wirklich sehr hilfreich.	0	clean	de	0	0	0	0	0	0
164	Ich war heute Morgen auf dem Markt, es gab tolles Gemüse.	0	clean	de	0	0	0	0	0	0
165	Meine Katze liebt es, am Nachmittag neben dem Fenster zu schlafen.	0	clean	de	0	0	0	0	0	0
166	Ich habe gestern Nacht einen tollen Roman fertig gelesen.	0	clean	de	0	0	0	0	0	0
167	Das Treffen morgen wurde auf Donnerstagmorgen verschoben.	0	clean	de	0	0	0	0	0	0
168	Herzlichen Glückwunsch zu deiner Beförderung, du verdienst es!	0	clean	de	0	0	0	0	0	0
169	Ich habe während meines Urlaubs eine tolle Kunstgalerie besucht.	0	clean	de	0	0	0	0	0	0
170	Die Kinder spielen im Garten, das ist so süß.	0	clean	de	0	0	0	0	0	0
171	Dieser Film war brillant inszeniert, ich empfehle ihn sehr.	0	clean	de	0	0	0	0	0	0
172	Wir haben eine schöne Geburtstagsfeier für Maria organisiert.	0	clean	de	0	0	0	0	0	0
173	Der Lehrer hat den Unterricht sehr klar erklärt.	0	clean	de	0	0	0	0	0	0
174	Ich liebe es, am Wochenende Science-Fiction-Romane zu lesen.	0	clean	de	0	0	0	0	0	0
175	Klassische Musik hilft mir, mich nach einem langen Tag zu entspannen.	0	clean	de	0	0	0	0	0	0
176	Unser Team hat gestern Abend das Fußballspiel gewonnen.	0	clean	de	0	0	0	0	0	0
177	Ich arbeite an meiner Masterarbeit über maschinelles Lernen.	0	clean	de	0	0	0	0	0	0
178	Die Blumen in meinem Garten beginnen zu blühen.	0	clean	de	0	0	0	0	0	0
179	Viel Glück bei deiner Prüfung morgen, ich weiß, du schaffst das!	0	clean	de	0	0	0	0	0	0
180	Ciao, spero che tu stia passando una meravigliosa giornata.	0	clean	it	0	0	0	0	0	0
181	Il tempo è bellissimo e gli uccelli stanno cantando.	0	clean	it	0	0	0	0	0	0
182	Ho appena finito di cuocere una deliziosa torta al cioccolato.	0	clean	it	0	0	0	0	0	0
183	Grazie mille per il tuo aiuto, è stato molto apprezzato.	0	clean	it	0	0	0	0	0	0
184	Sono andato al mercato stamattina, c'erano verdure fantastiche.	0	clean	it	0	0	0	0	0	0
185	Il mio gatto adora dormire vicino alla finestra nel pomeriggio.	0	clean	it	0	0	0	0	0	0
186	Ho finito di leggere un grande romanzo ieri sera, lo consiglio.	0	clean	it	0	0	0	0	0	0
187	La riunione di domani è stata spostata a giovedì mattina.	0	clean	it	0	0	0	0	0	0
188	Congratulazioni per la tua promozione, te la meriti davvero!	0	clean	it	0	0	0	0	0	0
189	Ho visitato una galleria d'arte incredibile durante le mie vacanze.	0	clean	it	0	0	0	0	0	0
190	I bambini stanno giocando in giardino, è così adorabile.	0	clean	it	0	0	0	0	0	0
191	Quel film era brillantemente diretto, lo consiglio vivamente.	0	clean	it	0	0	0	0	0	0
192	Abbiamo organizzato una bella festa di compleanno per Maria.	0	clean	it	0	0	0	0	0	0
193	L'insegnante ha spiegato la lezione in modo molto chiaro.	0	clean	it	0	0	0	0	0	0
194	Adoro leggere romanzi di fantascienza nel fine settimana.	0	clean	it	0	0	0	0	0	0
195	La musica classica mi aiuta a rilassarmi dopo una lunga giornata.	0	clean	it	0	0	0	0	0	0
196	La nostra squadra ha vinto la partita di calcio ieri sera.	0	clean	it	0	0	0	0	0	0
197	Sto lavorando alla mia tesi magistrale sull'intelligenza artificiale.	0	clean	it	0	0	0	0	0	0
198	I fiori nel mio giardino stanno iniziando a sbocciare.	0	clean	it	0	0	0	0	0	0
199	Buona fortuna per il tuo esame domani, so che andrà bene!	0	clean	it	0	0	0	0	0	0
200	Bonjour, j'espère que tu vas bien aujourd'hui.	0	clean	fr	0	0	0	0	0	0
201	Le soleil brille et la journée est magnifique.	0	clean	fr	0	0	0	0	0	0
202	J'ai préparé une délicieuse recette de tarte aux pommes.	0	clean	fr	0	0	0	0	0	0
203	Merci beaucoup pour ton aide, c'était vraiment utile.	0	clean	fr	0	0	0	0	0	0
204	Je suis allé au marché ce matin, il y avait de beaux légumes frais.	0	clean	fr	0	0	0	0	0	0
205	Mon chien adore se promener dans le parc le dimanche.	0	clean	fr	0	0	0	0	0	0
206	J'ai terminé mon livre préféré hier soir, il était fantastique.	0	clean	fr	0	0	0	0	0	0
207	La réunion de demain est reportée à jeudi matin.	0	clean	fr	0	0	0	0	0	0
208	Félicitations pour ta promotion, tu le mérites vraiment !	0	clean	fr	0	0	0	0	0	0
209	J'ai visité un musée incroyable pendant mes vacances.	0	clean	fr	0	0	0	0	0	0
210	Les enfants jouent dans le jardin, c'est tellement mignon.	0	clean	fr	0	0	0	0	0	0
211	Ce film était très bien réalisé, je le recommande vivement.	0	clean	fr	0	0	0	0	0	0
212	Nous avons organisé une belle fête d'anniversaire pour Marie.	0	clean	fr	0	0	0	0	0	0
213	Le professeur a expliqué le cours de manière très claire.	0	clean	fr	0	0	0	0	0	0
214	J'adore lire des romans de science-fiction le week-end.	0	clean	fr	0	0	0	0	0	0
215	La musique classique me détend après une longue journée.	0	clean	fr	0	0	0	0	0	0
216	Notre équipe a gagné le match de football hier soir.	0	clean	fr	0	0	0	0	0	0
217	Je prépare mon mémoire de master sur l'intelligence artificielle.	0	clean	fr	0	0	0	0	0	0
218	Les fleurs dans mon jardin commencent à s'épanouir.	0	clean	fr	0	0	0	0	0	0
219	Bonne chance pour ton examen de demain, tu vas réussir !	0	clean	fr	0	0	0	0	0	0
220	Hello, I hope you're having a wonderful day today.	0	clean	en	0	0	0	0	0	0
221	The weather is beautiful and the birds are singing.	0	clean	en	0	0	0	0	0	0
222	I just finished baking a delicious chocolate cake.	0	clean	en	0	0	0	0	0	0
223	Thank you so much for your help, it was really appreciated.	0	clean	en	0	0	0	0	0	0
224	I went to the farmers market this morning, great vegetables.	0	clean	en	0	0	0	0	0	0
225	My cat loves to sleep by the window in the afternoon sun.	0	clean	en	0	0	0	0	0	0
226	I finished reading a great novel last night, highly recommend it.	0	clean	en	0	0	0	0	0	0
227	The meeting tomorrow has been moved to Thursday morning.	0	clean	en	0	0	0	0	0	0
228	Congratulations on your promotion, you truly deserve it!	0	clean	en	0	0	0	0	0	0
229	I visited an amazing art gallery during my vacation.	0	clean	en	0	0	0	0	0	0
230	The kids are playing in the yard, it's so adorable.	0	clean	en	0	0	0	0	0	0
231	That movie was brilliantly directed, I highly recommend it.	0	clean	en	0	0	0	0	0	0
232	We organized a lovely birthday party for Sarah last weekend.	0	clean	en	0	0	0	0	0	0
233	The teacher explained the lesson in a very clear way.	0	clean	en	0	0	0	0	0	0
234	I love reading science fiction novels on weekends.	0	clean	en	0	0	0	0	0	0
235	Classical music helps me relax after a long day at work.	0	clean	en	0	0	0	0	0	0
236	Our team won the basketball game last night, so exciting!	0	clean	en	0	0	0	0	0	0
237	I'm working on my master's thesis about machine learning.	0	clean	en	0	0	0	0	0	0
238	The flowers in my garden are starting to bloom beautifully.	0	clean	en	0	0	0	0	0	0
239	Good luck on your exam tomorrow, I know you'll do great!	0	clean	en	0	0	0	0	0	0
240	Hola, espero que estés teniendo un día maravilloso.	0	clean	es	0	0	0	0	0	0
241	El clima es hermoso y los pájaros están cantando.	0	clean	es	0	0	0	0	0	0
242	Acabo de terminar de hornear un delicioso pastel de chocolate.	0	clean	es	0	0	0	0	0	0
243	Muchas gracias por tu ayuda, fue muy apreciada.	0	clean	es	0	0	0	0	0	0
244	Fui al mercado esta mañana, había verduras increíbles.	0	clean	es	0	0	0	0	0	0
245	Mi gato adora dormir junto a la ventana por la tarde.	0	clean	es	0	0	0	0	0	0
246	Terminé de leer una gran novela anoche, muy recomendable.	0	clean	es	0	0	0	0	0	0
247	La reunión de mañana se ha trasladado al jueves por la mañana.	0	clean	es	0	0	0	0	0	0
248	¡Felicitaciones por tu ascenso, realmente lo mereces!	0	clean	es	0	0	0	0	0	0
249	Visité una galería de arte increíble durante mis vacaciones.	0	clean	es	0	0	0	0	0	0
250	Los niños están jugando en el jardín, es tan adorable.	0	clean	es	0	0	0	0	0	0
251	Esa película fue brillantemente dirigida, la recomiendo mucho.	0	clean	es	0	0	0	0	0	0
252	Organizamos una hermosa fiesta de cumpleaños para María.	0	clean	es	0	0	0	0	0	0
253	El profesor explicó la lección de una manera muy clara.	0	clean	es	0	0	0	0	0	0
254	Me encanta leer novelas de ciencia ficción los fines de semana.	0	clean	es	0	0	0	0	0	0
255	La música clásica me ayuda a relajarme después de un largo día.	0	clean	es	0	0	0	0	0	0
256	Nuestro equipo ganó el partido de fútbol anoche.	0	clean	es	0	0	0	0	0	0
257	Estoy trabajando en mi tesis de maestría sobre inteligencia artificial.	0	clean	es	0	0	0	0	0	0
258	Las flores en mi jardín están empezando a florecer.	0	clean	es	0	0	0	0	0	0
259	¡Buena suerte en tu examen mañana, sé que lo harás genial!	0	clean	es	0	0	0	0	0	0
260	Hallo, ich hoffe, du hast einen wunderbaren Tag.	0	clean	de	0	0	0	0	0	0
261	Das Wetter ist schön und die Vögel singen fröhlich.	0	clean	de	0	0	0	0	0	0
262	Ich habe gerade einen köstlichen Schokoladenkuchen gebacken.	0	clean	de	0	0	0	0	0	0
263	Vielen Dank für deine Hilfe, das war wirklich sehr hilfreich.	0	clean	de	0	0	0	0	0	0
264	Ich war heute Morgen auf dem Markt, es gab tolles Gemüse.	0	clean	de	0	0	0	0	0	0
265	Meine Katze liebt es, am Nachmittag neben dem Fenster zu schlafen.	0	clean	de	0	0	0	0	0	0
266	Ich habe gestern Nacht einen tollen Roman fertig gelesen.	0	clean	de	0	0	0	0	0	0
267	Das Treffen morgen wurde auf Donnerstagmorgen verschoben.	0	clean	de	0	0	0	0	0	0
268	Herzlichen Glückwunsch zu deiner Beförderung, du verdienst es!	0	clean	de	0	0	0	0	0	0
269	Ich habe während meines Urlaubs eine tolle Kunstgalerie besucht.	0	clean	de	0	0	0	0	0	0
270	Die Kinder spielen im Garten, das ist so süß.	0	clean	de	0	0	0	0	0	0
271	Dieser Film war brillant inszeniert, ich empfehle ihn sehr.	0	clean	de	0	0	0	0	0	0
272	Wir haben eine schöne Geburtstagsfeier für Maria organisiert.	0	clean	de	0	0	0	0	0	0
273	Der Lehrer hat den Unterricht sehr klar erklärt.	0	clean	de	0	0	0	0	0	0
274	Ich liebe es, am Wochenende Science-Fiction-Romane zu lesen.	0	clean	de	0	0	0	0	0	0
275	Klassische Musik hilft mir, mich nach einem langen Tag zu entspannen.	0	clean	de	0	0	0	0	0	0
276	Unser Team hat gestern Abend das Fußballspiel gewonnen.	0	clean	de	0	0	0	0	0	0
277	Ich arbeite an meiner Masterarbeit über maschinelles Lernen.	0	clean	de	0	0	0	0	0	0
278	Die Blumen in meinem Garten beginnen zu blühen.	0	clean	de	0	0	0	0	0	0
279	Viel Glück bei deiner Prüfung morgen, ich weiß, du schaffst das!	0	clean	de	0	0	0	0	0	0
280	Ciao, spero che tu stia passando una meravigliosa giornata.	0	clean	it	0	0	0	0	0	0
281	Il tempo è bellissimo e gli uccelli stanno cantando.	0	clean	it	0	0	0	0	0	0
282	Ho appena finito di cuocere una deliziosa torta al cioccolato.	0	clean	it	0	0	0	0	0	0
283	Grazie mille per il tuo aiuto, è stato molto apprezzato.	0	clean	it	0	0	0	0	0	0
284	Sono andato al mercato stamattina, c'erano verdure fantastiche.	0	clean	it	0	0	0	0	0	0
285	Il mio gatto adora dormire vicino alla finestra nel pomeriggio.	0	clean	it	0	0	0	0	0	0
286	Ho finito di leggere un grande romanzo ieri sera, lo consiglio.	0	clean	it	0	0	0	0	0	0
287	La riunione di domani è stata spostata a giovedì mattina.	0	clean	it	0	0	0	0	0	0
288	Congratulazioni per la tua promozione, te la meriti davvero!	0	clean	it	0	0	0	0	0	0
289	Ho visitato una galleria d'arte incredibile durante le mie vacanze.	0	clean	it	0	0	0	0	0	0
290	I bambini stanno giocando in giardino, è così adorabile.	0	clean	it	0	0	0	0	0	0
291	Quel film era brillantemente diretto, lo consiglio vivamente.	0	clean	it	0	0	0	0	0	0
292	Abbiamo organizzato una bella festa di compleanno per Maria.	0	clean	it	0	0	0	0	0	0
293	L'insegnante ha spiegato la lezione in modo molto chiaro.	0	clean	it	0	0	0	0	0	0
294	Adoro leggere romanzi di fantascienza nel fine settimana.	0	clean	it	0	0	0	0	0	0
295	La musica classica mi aiuta a rilassarmi dopo una lunga giornata.	0	clean	it	0	0	0	0	0	0
296	La nostra squadra ha vinto la partita di calcio ieri sera.	0	clean	it	0	0	0	0	0	0
297	Sto lavorando alla mia tesi magistrale sull'intelligenza artificiale.	0	clean	it	0	0	0	0	0	0
298	I fiori nel mio giardino stanno iniziando a sbocciare.	0	clean	it	0	0	0	0	0	0
299	Buona fortuna per il tuo esame domani, so che andrà bene!	0	clean	it	0	0	0	0	0	0
300	Bonjour, j'espère que tu vas bien aujourd'hui.	0	clean	fr	0	0	0	0	0	0
301	Le soleil brille et la journée est magnifique.	0	clean	fr	0	0	0	0	0	0
